entity_id,state,last_changed
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 89 02 24 5B 01 0C 08 0D 07,2025-12-08T13:13:53.495Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 88 02 24 5C 01 0C 08 0D 07,2025-12-08T13:13:58.505Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 87 02 24 58 01 0C 08 0D 07,2025-12-08T13:14:03.498Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 86 02 24 5B 01 0C 08 0D 07,2025-12-08T13:14:08.511Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 85 02 24 5A 01 0C 08 0D 07,2025-12-08T13:14:13.528Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 85 02 24 59 01 0C 08 0D 07,2025-12-08T13:14:18.546Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 83 02 24 5B 01 0C 08 0D 08,2025-12-08T13:14:28.512Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 82 02 24 5C 01 0C 08 0D 08,2025-12-08T13:14:33.519Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 82 02 24 59 01 0C 08 0D 08,2025-12-08T13:14:38.525Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 80 02 24 5E 01 0C 08 0D 08,2025-12-08T13:14:48.550Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 7F 02 24 5D 01 0C 08 0D 08,2025-12-08T13:14:53.568Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 7E 02 24 5D 01 0C 08 0D 08,2025-12-08T13:15:03.537Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 7D 02 24 5D 01 0C 08 0D 08,2025-12-08T13:15:08.535Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 7C 02 24 5C 01 0C 08 0D 08,2025-12-08T13:15:13.541Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 7B 02 24 5B 01 0C 08 0D 08,2025-12-08T13:15:23.571Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 7A 02 24 58 01 0C 08 0D 09,2025-12-08T13:15:28.589Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 7A 02 24 55 01 0C 08 0D 09,2025-12-08T13:15:38.550Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 79 02 24 5A 01 0C 08 0D 09,2025-12-08T13:15:43.552Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 77 02 24 5A 01 0C 08 0D 09,2025-12-08T13:15:48.562Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 78 02 25 5C 01 0C 08 0D 09,2025-12-08T13:15:53.575Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 77 02 24 5D 01 0C 08 0D 09,2025-12-08T13:15:58.592Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 76 02 25 5E 01 0C 08 0D 09,2025-12-08T13:16:03.610Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 75 02 24 5E 01 0C 08 0D 09,2025-12-08T13:16:08.567Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 75 02 25 5E 01 0C 08 0D 09,2025-12-08T13:16:13.568Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 74 02 25 5A 01 0C 08 0D 09,2025-12-08T13:16:23.579Z
